Time,Container,CPU %,Memory Usage
1747114212,romantic_wilbur,0.04%,88.09MiB / 14.67GiB
1747114215,romantic_wilbur,267.14%,92.25MiB / 14.67GiB
1747114217,romantic_wilbur,246.12%,92.08MiB / 14.67GiB
1747114220,romantic_wilbur,257.32%,92.5MiB / 14.67GiB
1747114222,romantic_wilbur,345.06%,93.2MiB / 14.67GiB
1747114225,romantic_wilbur,289.11%,92.78MiB / 14.67GiB
1747114228,romantic_wilbur,265.19%,92.87MiB / 14.67GiB
1747114230,romantic_wilbur,348.25%,93.11MiB / 14.67GiB
1747114233,romantic_wilbur,398.91%,93.39MiB / 14.67GiB
1747114235,romantic_wilbur,0.04%,92.49MiB / 14.67GiB
1747114238,romantic_wilbur,0.04%,92.49MiB / 14.67GiB
1747114240,romantic_wilbur,0.04%,92.49MiB / 14.67GiB
1747114243,romantic_wilbur,0.04%,92.49MiB / 14.67GiB
1747114245,romantic_wilbur,0.04%,92.49MiB / 14.67GiB
1747114248,romantic_wilbur,0.04%,92.49MiB / 14.67GiB
1747114250,romantic_wilbur,0.03%,92.49MiB / 14.67GiB
1747114253,romantic_wilbur,0.05%,92.49MiB / 14.67GiB
1747114255,romantic_wilbur,0.04%,92.49MiB / 14.67GiB
1747114258,romantic_wilbur,0.04%,92.49MiB / 14.67GiB
1747114261,romantic_wilbur,0.05%,92.49MiB / 14.67GiB
1747114263,romantic_wilbur,0.04%,92.48MiB / 14.67GiB
1747114266,romantic_wilbur,0.03%,92.48MiB / 14.67GiB
1747114269,romantic_wilbur,0.04%,92.48MiB / 14.67GiB
1747114271,romantic_wilbur,0.04%,92.48MiB / 14.67GiB
