Time,Container,CPU %,Memory Usage
1747117041,pensive_shockley,0.04%,98.27MiB / 14.67GiB
1747117044,pensive_shockley,0.04%,98.27MiB / 14.67GiB
1747117046,pensive_shockley,129.51%,101.3MiB / 14.67GiB
1747117049,pensive_shockley,157.23%,101.2MiB / 14.67GiB
1747117051,pensive_shockley,255.83%,101.5MiB / 14.67GiB
1747117054,pensive_shockley,238.11%,101.6MiB / 14.67GiB
1747117057,pensive_shockley,218.55%,101.6MiB / 14.67GiB
1747117059,pensive_shockley,59.14%,101.4MiB / 14.67GiB
1747117062,pensive_shockley,376.78%,101.6MiB / 14.67GiB
1747117064,pensive_shockley,394.53%,101.4MiB / 14.67GiB
1747117067,pensive_shockley,399.82%,101.2MiB / 14.67GiB
1747117069,pensive_shockley,397.95%,101.9MiB / 14.67GiB
1747117072,pensive_shockley,399.96%,101.1MiB / 14.67GiB
1747117074,pensive_shockley,398.61%,101.4MiB / 14.67GiB
1747117077,pensive_shockley,398.86%,101.2MiB / 14.67GiB
1747117079,pensive_shockley,398.99%,101.5MiB / 14.67GiB
1747117082,pensive_shockley,397.84%,101.4MiB / 14.67GiB
1747117084,pensive_shockley,0.04%,101MiB / 14.67GiB
1747117087,pensive_shockley,0.04%,101MiB / 14.67GiB
1747117090,pensive_shockley,0.05%,101MiB / 14.67GiB
1747117092,pensive_shockley,0.04%,101MiB / 14.67GiB
1747117095,pensive_shockley,0.03%,101MiB / 14.67GiB
1747117097,pensive_shockley,0.04%,101MiB / 14.67GiB
1747117100,pensive_shockley,0.04%,101MiB / 14.67GiB
